airbnb_listing_id,ad_name,bairro,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,adr_mediano,adr_medio,n_diarias_observadas,number_of_reviews,star_rating,guest_satisfaction_overall,is_superhost,is_professional
1268130203855497700,"AP Alto padrão, 3 suites,2 vagas",Meia Praia,apartamento,3,4.0,6,,,,0,,0,False,False
1308106513769492093,Ap. Aconchegante - Itapema - SC - 600mts da praia,Não identificado,apartamento,2,2.0,5,,,,0,,0,False,False
1208852730792445862,Férias no coração da Meia praia,Meia Praia,apartamento,2,2.0,4,,,,0,,0,False,
792083136178092817,Casa arborizada em Itapema,Meia Praia,casa,3,1.0,12,,,,5,4.400000095367432,4,False,False
962455307045450364,Ap 120mt da Praia,Não identificado,apartamento,3,2.0,9,,,,11,5.0,5,False,False
986230450715211958,4704 Apto grande para 10 pessoas na meia praia,Meia Praia,hotel,3,2.0,10,,,,0,,0,False,True
1281346509418142210,Apartamento em Itapema/SC,Não identificado,apartamento,2,2.0,5,,,,0,,0,False,False
714437917071118647,"Apartamento Todo a 2,5 quadras do Mar! Meia Praia",Meia Praia,apartamento,2,2.0,4,,,,0,,0,False,False
1316628348930374924,Apartamento novo em meia praia,Meia Praia,apartamento,2,2.0,6,,,,1,5.0,5,False,False
742007693361015968,Amplo e confortável apto pé na areia.,Não identificado,apartamento,3,2.0,8,,,,1,5.0,5,False,False
1248043584865153232,"Comodidade, pé na areia!",Não identificado,outros,1,1.0,2,,,,0,,0,False,False
629724091250673746,Apto pé na areia vista mar em Meia Praia EVB308,Meia Praia,apartamento,2,2.0,6,588.0,640.2770110344827,145.0,46,4.71999979019165,4,False,True
42003334,O sonho de sua Família se realizando! Meia PraiaSC,Não identificado,apartamento,3,2.0,8,500.0,655.0651145348837,172.0,30,4.929999828338623,4,True,False
1083196219974177016,itapema SC / Apartamento Mobiliado novo,Não identificado,apartamento,2,1.0,4,315.0,333.7543859649123,57.0,1,5.0,5,False,False
52365024,POUSADA BRONZE - APTO 01,Não identificado,apartamento,1,1.0,4,,,,5,4.599999904632568,4,False,False
47741162,APTO 3 DORMITÓRIOS QUADRA MAR ITAPEMA RUA 237,Não identificado,apartamento,3,2.0,8,,,,0,,0,False,False
782079961051823177,área nobre de Meia Praia,Meia Praia,apartamento,4,4.0,8,,,,0,,0,False,False
52474050,Apartamento no coração da Meia Praia,Meia Praia,apartamento,2,2.0,7,780.0,780.0,22.0,41,4.929999828338623,4,False,False
1271860126061296273,Apartamento - Coração Itapema,Não identificado,apartamento,3,1.0,8,,,,0,,0,False,False
1304316374891505715,Apartamento 1 suíte + 1,Não identificado,apartamento,2,2.0,6,,,,0,,0,True,False
1177436051570848691,Ap 3 Dorm. em Meia Praia!,Meia Praia,apartamento,3,2.0,6,,,,3,5.0,5,True,False
1287101738390870837,Apto no coração da Meia Praia,Meia Praia,apartamento,2,1.0,5,,,,1,5.0,5,False,False
1272538144359194105,6 quartos -Meia Praia l,Meia Praia,casa,6,2.0,16,,,,0,,0,False,False
762281119140381406,Apto Família em Itapema/SC direto prop desconto,Não identificado,apartamento,3,2.0,9,,,,0,,0,False,False
1046547202929220520,Loft em Itapema 50 metros do Mar,Meia Praia,apartamento,1,1.0,2,412.5,415.1524942857143,147.0,15,4.869999885559082,4,True,False
991163210244349085,Apartamento em Meia Praia.,Meia Praia,apartamento,3,2.0,7,,,,0,,0,False,
52669723,APT. COM MESA DE SINUCA NA SALA,Meia Praia,apartamento,2,2.0,8,,,,1,5.0,5,False,False
1262371850958835888,Cobertura com vista para o Mar,Não identificado,apartamento,4,6.0,8,,,,0,,0,False,False
15632254,Duplex pé na areia vista para o mar,Centro,apartamento,3,3.0,8,,,,8,5.0,5,False,False
762193482933523977,Itapema SC Praia Com Muito Lazer,Não identificado,apartamento,2,2.0,6,,,,0,,0,False,False
1224783765392086252,Apto bem localizado perto dpraia,Não identificado,apartamento,2,3.0,7,,,,0,,0,False,False
944343023898914960,Frente Mar Top aconchegante!,Não identificado,apartamento,2,2.0,6,,,,1,5.0,5,False,True
39455639,Apto amplo em Meia Praia,Meia Praia,apartamento,3,2.0,6,,,,1,5.0,5,False,False
1005958896607152946,Ar Cond. - Apartamento Itapema - 5 min Meia Praia,Meia Praia,apartamento,2,1.0,5,240.0,249.7826086956522,161.0,37,4.809999942779541,4,True,False
634097694532962487,"Apto 2 suítes climatizadas,  pertinho do mar!",Meia Praia,apartamento,2,1.0,6,,,,0,,0,False,False
1132470928224766315,Férias a 2 minutos a pé da orla,Não identificado,apartamento,3,2.0,10,,,,3,5.0,5,False,False
1211518555449567763,102 - Quarto privativo em Meia Praia - Itapema/SC,Meia Praia,apartamento,1,1.0,4,,,,0,,0,False,False
45699948,Meia Praia 30 mts do mar e excelente localização,Meia Praia,apartamento,2,2.0,6,,,,26,4.650000095367432,4,False,False
1035498654598693145,Excelente Apartamento,Não identificado,apartamento,2,2.0,6,,,,1,5.0,5,False,False
1068143091756551281,"Quarto privativo, pé na areia! 60m do mar.",Meia Praia,outros,1,1.0,3,,,,0,,0,False,False
30085847,"Ótimo apto 2 suítes, 50 m do mar, WiFi, 2ar split",Não identificado,apartamento,2,2.0,5,490.0,541.6046514418605,215.0,34,4.880000114440918,4,False,False
1237089275859798305,As férias dos sonhos está em Meia Praia -  Itapema,Meia Praia,apartamento,3,4.0,9,,,,2,5.0,5,False,False
751508894634281743,"apto lindo a 40mts da praia, com ar condicionado",Não identificado,apartamento,2,2.0,5,,,,4,5.0,5,False,False
9658725,Lindo Apartamento Quadra Mar!,Não identificado,apartamento,2,2.0,6,300.0,282.1,10.0,165,4.639999866485596,4,False,False
573122310094338767,Amplo apto c/ vista p/ mar e duas vagas de garagem,Meia Praia,apartamento,3,2.0,6,550.0,601.2988,111.0,15,4.929999828338623,4,False,False
1219485375936020945,"Apto bem localizado, vista mar",Não identificado,apartamento,3,4.0,6,,,,0,,0,False,False
763897237534221173,apto 4suítes p/ famílias,Meia Praia,apartamento,4,4.0,10,,,,8,5.0,5,True,False
1316280246615307193,Cama quarto 6 hóspedes hostel,Não identificado,outros,0,2.0,4,,,,0,,0,False,False
892721989592935461,"Itapema Centro, 100m  do mar com garagem e sacada",Centro,apartamento,2,2.0,6,350.0,378.7420634920635,126.0,26,5.0,5,False,False
971842566313878284,"Apartamento Meia Praia, SC",Meia Praia,apartamento,3,1.0,6,,,,6,5.0,5,False,False
1295027232705287514,Apartamento na meia praia,Meia Praia,apartamento,2,2.0,4,,,,2,5.0,5,False,False
780376166619260652,Apartamento centro de Meia Praia,Meia Praia,apartamento,3,3.0,6,429.0,529.4545454545455,44.0,5,5.0,5,False,False
1316195905735253523,Apartamento frente ao mar,Não identificado,apartamento,3,2.0,8,,,,0,,0,False,False
41110950,Lindo apto para locação em Itapema,Meia Praia,apartamento,3,2.0,5,,,,0,,0,False,False
759487100003663236,Apartamento completo a 100 m do mar.,Não identificado,apartamento,3,2.0,8,,,,4,5.0,5,False,False
41731856,Casa 4 suítes Com piscina na praia de meia praia,Meia Praia,casa,4,5.0,16,,,,6,4.0,4,False,False
53492577,apartamento rua 234. dois minutos de caminhada,Não identificado,apartamento,3,2.0,8,300.0,292.5,28.0,15,4.929999828338623,4,False,False
978410400232267791,Quadra Mar em Itapema,Não identificado,apartamento,2,2.0,6,400.0,396.317204516129,31.0,5,5.0,5,False,False
828604972098195646,"Apto novo, lindo, 5min da praia!",Andorinha,apartamento,2,2.0,6,,,,2,5.0,5,False,False
1276119476031269336,Hotel Blue Sea - Itapema/SC,Não identificado,hotel,1,1.0,2,,,,0,,0,False,False
763580356087428942,Apart moderno 1/2 quadra do mar.,Meia Praia,apartamento,3,3.0,6,,,,0,,0,False,False
53472952,APARTAMENTO  ENCANTADOR 3 suítes e 3 VAGAS,Não identificado,apartamento,3,3.0,8,,,,1,5.0,5,False,False
790006111813482352,Apt bem localizado na Meia Praia,Meia Praia,apartamento,2,2.0,6,405.0,427.0147058823529,68.0,8,5.0,5,False,False
29302246,APTO1 COM 2 QUARTOS (AR COND. TV SMART E WI-FI).,Não identificado,apartamento,2,1.0,5,400.0,394.7241379310345,58.0,56,4.909999847412109,4,False,True
1060214707285139869,Apartamento Frente Mar Itapema,Não identificado,apartamento,3,3.0,6,,,,0,,0,False,False
1070321901292245151,Rua 282,Não identificado,apartamento,2,1.0,5,,,,1,5.0,5,True,False
40191152,Apto novo vista mar em meia praia alto padrão,Meia Praia,apartamento,4,5.0,10,1068.0,1350.4242424242425,33.0,6,5.0,5,False,False
1270636967067286722,"Ap 1 suíte + 1 quarto, ar, churrasqueira, garagem.",Não identificado,apartamento,2,2.0,6,,,,2,5.0,5,False,False
